Site,Year,SiteYear,Position,Winglength,Mag,Winglength_2,Sex,AdultMass,Notes
Vulgaris,2012,Vulgaris2012,,,,,F,1.021,
Vulgaris,2012,Vulgaris2012,,,,,F,1.227,
Vulgaris,2012,Vulgaris2012,,,,,F,1.054,
Vulgaris,2012,Vulgaris2012,,,,,F,1.112,
Vulgaris,2012,Vulgaris2012,,,,,F,1.439,
Vulgaris,2012,Vulgaris2012,,,,,F,1.401,
Vulgaris,2012,Vulgaris2012,,,,,F,1.529,
Vulgaris,2012,Vulgaris2012,,,,,F,1.6,
Vulgaris,2012,Vulgaris2012,,,,,F,1.401,
Vulgaris,2012,Vulgaris2012,,,,,F,1.482,
Vulgaris,2012,Vulgaris2012,,,,,F,0.546,
Vulgaris,2012,Vulgaris2012,,,,,F,1.386,
Vulgaris,2012,Vulgaris2012,,,,,F,1.543,
Vulgaris,2012,Vulgaris2012,,,,,F,1.331,
Vulgaris,2012,Vulgaris2012,,,,,F,0.966,
Vulgaris,2012,Vulgaris2012,,,,,F,1.627,
Vulgaris,2012,Vulgaris2012,,,,,F,1.676,
Vulgaris,2012,Vulgaris2012,,,,,F,1.093,
Vulgaris,2012,Vulgaris2012,,,,,F,1.549,
Vulgaris,2012,Vulgaris2012,,,,,F,1.611,
Vulgaris,2012,Vulgaris2012,,,,,F,1.652,
Vulgaris,2012,Vulgaris2012,,,,,F,1.184,
Vulgaris,2012,Vulgaris2012,,,,,F,1.576,
Vulgaris,2012,Vulgaris2012,,,,,F,0.923,
Vulgaris,2012,Vulgaris2012,,,,,F,1.852,
Vulgaris,2012,Vulgaris2012,,,,,F,0.712,
Vulgaris,2012,Vulgaris2012,,,,,F,1.718,
Vulgaris,2012,Vulgaris2012,,,,,F,1.248,
Vulgaris,2012,Vulgaris2012,,,,,F,1.005,
Vulgaris,2012,Vulgaris2012,,,,,F,1.823,
Vulgaris,2012,Vulgaris2012,,,,,F,1.722,
Vulgaris,2012,Vulgaris2012,,,,,F,1.37,
Vulgaris,2012,Vulgaris2012,,,,,F,1.744,
Vulgaris,2012,Vulgaris2012,,,,,F,2.101,
Vulgaris,2012,Vulgaris2012,,,,,F,0.991,
Vulgaris,2012,Vulgaris2012,,,,,F,1.946,
Vulgaris,2012,Vulgaris2012,,,,,F,0.861,
Vulgaris,2012,Vulgaris2012,,,,,F,1.922,
