Date,Day,Site,Year,Adultcumulative
4-Jun-17,4-Jun-17,Vulgaris road,2017,0.33
9-Jun-17,9-Jun-17,Vulgaris small,2017,0.33
28-May-17,28-May-17,East,2017,2.3
31-May-12,31-May-17,Black,2012,2.5
10-Jun-17,10-Jun-17,Vulgaris small,2017,5.33
13-Jun-17,13-Jun-17,Vulgaris small,2017,6.33
10-Jun-17,10-Jun-17,Ice,2017,7.667
17-Jun-17,17-Jun-17,Ice,2017,7.667
1-Jun-12,1-Jun-17,Black,2012,8.5
7-Jun-17,7-Jun-17,Vulgaris road,2017,14.667
30-May-17,30-May-17,Oil,2017,17.33
4-Jun-17,4-Jun-17,Vulgaris,2017,20.667
10-Jun-17,10-Jun-17,Vulgaris road,2017,23.667
12-Jun-17,12-Jun-17,Vulgaris road,2017,24
7-Jun-17,7-Jun-17,Vulgaris,2017,30
10-Jun-17,10-Jun-17,Vulgaris,2017,34.667
4-Jun-12,4-Jun-17,East,2012,45.5
4-Jun-12,4-Jun-17,Black,2012,48
5-Jun-12,5-Jun-17,Black,2012,50
7-Jun-12,7-Jun-17,Black,2012,50
8-Jun-12,8-Jun-17,Black,2012,50.5
12-Jun-12,12-Jun-17,Black,2012,50.5
1-Jun-17,1-Jun-17,Oil,2017,58.33
7-Jun-12,7-Jun-17,East,2012,63
11-Jun-12,11-Jun-17,East,2012,68.5
31-May-12,31-May-17,Vulgaris,2012,90.5
1-Jun-12,1-Jun-17,Vulgaris,2012,116
2-Jun-17,2-Jun-17,Oil,2017,121
4-Jun-12,4-Jun-17,Vulgaris,2012,129
4-Jun-12,5-Jun-17,Vulgaris,2012,131.5
4-Jun-12,6-Jun-17,Vulgaris,2012,132
7-Jun-12,7-Jun-17,Vulgaris,2012,133.5
11-Jun-12,11-Jun-17,Vulgaris,2012,134.5
12-Jun-12,12-Jun-17,Vulgaris,2012,135
5-Jun-17,5-Jun-17,Oil,2017,138.33
8-Jun-17,8-Jun-17,Oil,2017,138.33
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
