ID,Site,Weatherperiod,DateStart,TimeStart,Datetime_Start,DateEnd,TimeEnd,Datetime_End,Totaldays,Totalhours,Count,Count3.5,LogCount3.5,LnCount3.5,Habitatcategory,Habitatpair,BMhabitat,BMhabitat2,ID2,Site2,Count2,Count2,Count3.52,LogCount3.52,LnCount3.52,Habitatamount2,Habitatcategory2,BMhabitat22,BMhabitat222
195,Oil,49,7/9/2017,19:02,7/9/2017 19:02,7/9/2017,22:26,7/9/2017 22:26,0.141666667,3.4,21,22,1.342422681,3.091042453,High,3,LowHigh,LowHigh,196,KISS,0.144444444,13,13,1.146128036,2.63905733,8675,Low,HighLow,HighLow
198,Oil,50,7/10/2017,17:41,7/10/2017 17:41,7/10/2017,20:58,7/10/2017 20:58,0.136805556,3.28,34,36,1.556302501,3.583518938,High,3,LowHigh,LowHigh,197,KISS,0.136111111,28,30,1.491361694,3.433987204,8675,Low,HighLow,HighLow
210,Oil,51,7/12/2017,17:35,7/12/2017 17:35,7/12/2017,21:01,7/12/2017 21:01,0.143055556,3.43,2,2,0.301029996,0.693147181,High,3,LowHigh,LowHigh,209,KISS,0.140277778,2,2,0.477121255,1.098612289,8675,Low,HighLow,HighLow
229,Oil,52,7/14/2017,18:58,7/14/2017 18:58,7/14/2017,22:47,7/14/2017 22:47,0.159027778,3.82,1,1,0,0,High,3,LowHigh,LowHigh,230,KISS,0.159027778,0,0,0,0,8675,Low,HighLow,HighLow
232,Oil,53,7/17/2017,18:10,7/17/2017 18:10,7/17/2017,21:36,7/17/2017 21:36,0.143055556,3.43,7,7,0.84509804,1.945910149,High,3,LowHigh,LowHigh,231,KISS,0.149305556,11,11,1.079181246,2.48490665,8675,Low,HighLow,HighLow
244,Oil,54,7/19/2017,17:26,7/19/2017 17:26,7/19/2017,20:35,7/19/2017 20:35,0.13125,3.15,0,0,0,0,High,3,LowHigh,LowHigh,243,KISS,0.125,0,0,0,0,8675,Low,HighLow,HighLow
36,Moz valley,16,6/13/2017,18:05,6/13/2017 18:05,6/13/2017,21:07,6/13/2017 21:07,0.126388889,3.03,270,312,2.494154594,5.743003188,High,4,HighHigh,HighHigh,39,Bunny Hill,0.125694444,469,544,2.736396502,6.300785795,3580.25,Low,HighLow,HighLow
60,Moz valley,26,6/18/2017,18:40,6/18/2017 18:40,6/18/2017,22:12,6/18/2017 22:12,0.147222222,3.53,89,88,1.944482672,4.477336814,High,4,HighHigh,HighHigh,58,Bunny Hill,0.133333333,56,61,1.792391689,4.127134385,3580.25,Low,HighLow,HighLow
76,Moz valley,33,6/22/2017,18:07,6/22/2017 18:07,6/22/2017,21:34,6/22/2017 21:34,0.14375,3.45,63,64,1.806179974,4.158883083,High,4,HighHigh,HighHigh,79,Bunny Hill,0.152777778,88,84,1.929418926,4.442651256,3580.25,Low,HighLow,HighLow
89,Moz valley,37,6/24/2017,18:45,6/24/2017 18:45,6/24/2017,22:05,6/24/2017 22:05,0.138888889,3.33,115,121,2.08278537,4.795790546,High,4,HighHigh,HighHigh,92,Bunny Hill,0.143055556,177,180,2.257678575,5.198497031,3580.25,Low,HighLow,HighLow
102,Moz valley,41,6/28/2017,17:23,6/28/2017 17:23,6/28/2017,20:38,6/28/2017 20:38,0.135416667,3.25,55,59,1.770852012,4.077537444,High,4,HighHigh,HighHigh,105,Bunny Hill,0.134722222,149,161,2.209515015,5.087596335,3580.25,Low,HighLow,HighLow
125,Moz valley,42,6/29/2017,19:13,6/29/2017 19:13,6/29/2017,22:24,6/29/2017 22:24,0.132638889,3.18,44,48,1.681241237,3.871201011,High,4,HighHigh,HighHigh,122,Bunny Hill,0.133333333,38,42,1.633468456,3.761200116,3580.25,Low,HighLow,HighLow
127,Moz valley,44,7/2/2017,17:25,7/2/2017 17:25,7/2/2017,20:52,7/2/2017 20:52,0.14375,3.45,1,1,0,0,High,4,HighHigh,HighHigh,130,Bunny Hill,0.145138889,0,0,0,0,3580.25,Low,HighLow,HighLow
150,Moz valley,45,7/3/2017,19:16,7/3/2017 19:16,7/3/2017,22:41,7/3/2017 22:41,0.142361111,3.42,21,22,1.342422681,3.091042453,High,4,HighHigh,HighHigh,147,Bunny Hill,0.138888889,19,20,1.322219295,3.044522438,3580.25,Low,HighLow,HighLow
151,Moz valley,46,7/5/2017,17:38,7/5/2017 17:38,7/5/2017,20:49,7/5/2017 20:49,0.132638889,3.18,0,0,0,0,High,4,HighHigh,HighHigh,154,Bunny Hill,0.132638889,0,0,0,0,3580.25,Low,HighLow,HighLow
174,Moz valley,47,7/6/2017,19:09,7/6/2017 19:09,7/6/2017,22:30,7/6/2017 22:30,0.139583333,3.35,23,24,1.380211242,3.17805383,High,4,HighHigh,HighHigh,171,Bunny Hill,0.1375,199,211,2.326335861,5.356586275,3580.25,Low,HighLow,HighLow
175,Moz valley,48,7/7/2017,17:38,7/7/2017 17:38,7/7/2017,21:02,7/7/2017 21:02,0.141666667,3.4,29,30,1.477121255,3.401197382,High,4,HighHigh,HighHigh,178,Bunny Hill,0.140972222,12,12,1.113943352,2.564949357,3580.25,Low,HighLow,HighLow
186,Moz valley,49,7/9/2017,17:27,7/9/2017 17:27,7/9/2017,20:51,7/9/2017 20:51,0.141666667,3.4,24,25,1.397940009,3.218875825,High,4,HighHigh,HighHigh,188,Bunny Hill,0.141666667,0,0,0,0,3580.25,Low,HighLow,HighLow
207,Moz valley,50,7/10/2017,19:05,7/10/2017 19:05,7/10/2017,22:13,7/10/2017 22:13,0.130555556,3.13,28,31,1.491361694,3.433987204,High,4,HighHigh,HighHigh,204,Bunny Hill,0.132638889,0,0,0,0,3580.25,Low,HighLow,HighLow
218,Moz valley,51,7/12/2017,19:12,7/12/2017 19:12,7/12/2017,22:28,7/12/2017 22:28,0.136111111,3.27,39,42,1.62324929,3.737669618,High,4,HighHigh,HighHigh,216,Bunny Hill,0.134722222,5,5,0.77815125,1.791759469,3580.25,Low,HighLow,HighLow
220,Moz valley,52,7/14/2017,17:32,7/14/2017 17:32,7/14/2017,21:12,7/14/2017 21:12,0.152777778,3.67,36,34,1.531478917,3.526360525,High,4,HighHigh,HighHigh,223,Bunny Hill,0.152777778,76,73,1.86923172,4.304065093,3580.25,Low,HighLow,HighLow
241,Moz valley,53,7/17/2017,19:36,7/17/2017 19:36,7/17/2017,23:06,7/17/2017 23:06,0.145833333,3.5,1,1,0,0,High,4,HighHigh,HighHigh,238,Bunny Hill,0.144444444,0,0,0,0,3580.25,Low,HighLow,HighLow
253,Moz valley,54,7/19/2017,18:39,7/19/2017 18:39,7/19/2017,21:56,7/19/2017 21:56,0.136805556,3.28,45,48,1.681241237,3.871201011,High,4,HighHigh,HighHigh,250,Bunny Hill,0.136111111,22,24,1.397940009,3.218875825,3580.25,Low,HighLow,HighLow
21,VV1,8,6/8/2017,18:40,6/8/2017 18:40,6/8/2017,21:40,6/8/2017 21:40,0.125,3,32,37,1.568201724,3.610917913,High,5,HighHigh,HighHigh,20,VV2,0.125,6,7,0.903089987,2.079441542,6971,Low,MedLow,HighLow
38,VV1,16,6/13/2017,18:20,6/13/2017 18:20,6/13/2017,21:21,6/13/2017 21:21,0.125694444,3.02,61,71,1.851258349,4.262679877,High,5,HighHigh,HighHigh,37,VV2,0.126388889,231,267,2.428134794,5.590986981,6971,Low,MedLow,HighLow
54,VV1,22,6/17/2017,18:54,6/17/2017 18:54,6/17/2017,21:55,6/17/2017 21:55,0.125694444,3.02,20,23,1.361727836,3.135494216,High,5,HighHigh,HighHigh,53,VV2,0.125,0,0,0,0,6971,Low,MedLow,HighLow
57,VV1,26,6/18/2017,18:56,6/18/2017 18:56,6/18/2017,22:00,6/18/2017 22:00,0.127777778,3.07,114,130,2.113943352,4.86753445,High,5,HighHigh,HighHigh,59,VV2,0.131944444,0,0,0,0,6971,Low,MedLow,HighLow
78,VV1,33,6/22/2017,18:20,6/22/2017 18:20,6/22/2017,21:55,6/22/2017 21:55,0.149305556,3.58,410,400,2.602059991,5.991464547,High,5,HighHigh,HighHigh,77,VV2,0.149305556,293,286,2.457881897,5.659482216,6971,Low,MedLow,HighLow
