ID,Site,Scatpair,Weatherperiod,DateStart,TimeStart,Datetime_Start,DateEnd,TimeEnd,Datetime_End,Count3.5,LogCount3.5,LnCount3.5,Scatcategory,ID2,Site2,Count3.52,LogCount3.52,LnCount3.52,Scatcategory2
214,Waterfall,4,51,7/12/2017,18:14,7/12/2017 18:14,7/12/2017,21:37,7/12/2017 21:37,25,1.397940009,3.218875825,High,215,Seatomato,11,1.041392685,2.397895273,Low
226,Waterfall,4,52,7/14/2017,18:23,7/14/2017 18:23,7/14/2017,22:09,7/14/2017 22:09,0,0,0,High,224,Seatomato,8,0.903089987,2.079441542,Low
236,Waterfall,4,53,7/17/2017,18:46,7/17/2017 18:46,7/17/2017,22:23,7/17/2017 22:23,0,0,0,High,237,Seatomato,0,0,0,Low
248,Waterfall,4,54,7/19/2017,17:58,7/19/2017 17:58,7/19/2017,21:09,7/19/2017 21:09,9,0.954242509,2.197224577,High,249,Seatomato,3,0.477121255,1.098612289,Low
86,Waterfall up,5,37,6/24/2017,18:05,6/24/2017 18:05,6/24/2017,21:30,6/24/2017 21:30,56,1.748188027,4.025351691,High,93,Camp,200,2.301029996,5.298317367,Low
109,Waterfall up,5,41,6/28/2017,18:32,6/28/2017 18:32,6/28/2017,21:42,6/28/2017 21:42,243,2.385606274,5.493061443,High,106,Camp,610,2.785329835,6.413458957,Low
118,Waterfall up,5,42,6/29/2017,18:09,6/29/2017 18:09,6/29/2017,21:18,6/29/2017 21:18,2,0.301029996,0.693147181,High,121,Camp,68,1.832508913,4.219507705,Low
134,Waterfall up,5,44,7/2/2017,18:32,7/2/2017 18:32,7/2/2017,22:00,7/2/2017 22:00,0,0,0,High,131,Camp,0,0,0,Low
143,Waterfall up,5,45,7/3/2017,18:23,7/3/2017 18:23,7/3/2017,21:47,7/3/2017 21:47,0,0,0,High,146,Camp,0,0,0,Low
158,Waterfall up,5,46,7/5/2017,18:42,7/5/2017 18:42,7/5/2017,21:52,7/5/2017 21:52,0,0,0,High,155,Camp,0,0,0,Low
167,Waterfall up,5,47,7/6/2017,18:08,7/6/2017 18:08,7/6/2017,21:20,7/6/2017 21:20,96,1.982271233,4.564348191,High,170,Camp,170,2.230448921,5.135798437,Low
182,Waterfall up,5,48,7/7/2017,18:49,7/7/2017 18:49,7/7/2017,22:12,7/7/2017 22:12,41,1.612783857,3.713572067,High,179,Camp,60,1.77815125,4.094344562,Low
192,Waterfall up,5,49,7/9/2017,18:37,7/9/2017 18:37,7/9/2017,21:52,7/9/2017 21:52,0,0,0,High,189,Camp,0,0,0,Low
201,Waterfall up,5,50,7/10/2017,18:07,7/10/2017 18:07,7/10/2017,21:26,7/10/2017 21:26,3,0.477121255,1.098612289,High,208,Camp,18,1.255272505,2.890371758,Low
213,Waterfall up,5,51,7/12/2017,18:05,7/12/2017 18:05,7/12/2017,21:28,7/12/2017 21:28,5,0.698970004,1.609437912,High,219,Camp,22,1.342422681,3.091042453,Low
227,Waterfall up,5,52,7/14/2017,18:32,7/14/2017 18:32,7/14/2017,22:20,7/14/2017 22:20,3,0.477121255,1.098612289,High,225,Camp,0,0,0,Low
235,Waterfall up,5,53,7/17/2017,18:39,7/17/2017 18:39,7/17/2017,22:14,7/17/2017 22:14,0,0,0,High,242,Camp,0,0,0,Low
247,Waterfall up,5,54,7/19/2017,17:50,7/19/2017 17:50,7/19/2017,20:59,7/19/2017 20:59,9,0.954242509,2.197224577,High,254,Camp,0,0,0,Low
