Trap_ID,Site,Closest_WS,Date_Start,Time_Start,Datetime_Start,Date_End,Time_end,Datetime_End,Total_days,Total_hours,Count
145,Waterfall up,,7/3/2017,18:23,7/3/2017 18:23,7/3/2017,21:47,7/3/2017 21:47,0.141666667,3.4,0
146,Waterfall,,7/3/2017,18:33,7/3/2017 18:33,7/3/2017,21:49,7/3/2017 21:49,0.136111111,3.27,2
147,Seatomato,,7/3/2017,18:43,7/3/2017 18:43,7/3/2017,21:59,7/3/2017 21:59,0.136111111,3.27,0
148,Camp,,7/3/2017,19:30,7/3/2017 19:30,7/3/2017,23:00,7/3/2017 23:00,0.145833333,3.5,0
149,Bunny Hill,,7/3/2017,18:56,7/3/2017 18:56,7/3/2017,22:16,7/3/2017 22:16,0.138888889,3.33,19
150,VV2,,7/3/2017,19:05,7/3/2017 19:05,7/3/2017,22:28,7/3/2017 22:28,0.140972222,3.38,0
151,VV1,,7/3/2017,19:10,7/3/2017 19:10,7/3/2017,22:33,7/3/2017 22:33,0.140972222,3.38,0
152,Moz valley,,7/3/2017,19:16,7/3/2017 19:16,7/3/2017,22:41,7/3/2017 22:41,0.142361111,3.42,21
153,Moz valley,,7/5/2017,17:38,7/5/2017 17:38,7/5/2017,20:49,7/5/2017 20:49,0.132638889,3.18,0
154,VV2,,7/5/2017,17:48,7/5/2017 17:48,7/5/2017,20:56,7/5/2017 20:56,0.130555556,3.13,0
155,VV1,,7/5/2017,17:52,7/5/2017 17:52,7/5/2017,21:01,7/5/2017 21:01,0.13125,3.15,0
156,Bunny Hill,,7/5/2017,17:57,7/5/2017 17:57,7/5/2017,21:08,7/5/2017 21:08,0.132638889,3.18,0
157,Camp,,7/5/2017,18:11,7/5/2017 18:11,7/5/2017,21:22,7/5/2017 21:22,0.132638889,3.18,0
158,Seatomato,,7/5/2017,18:20,7/5/2017 18:20,7/5/2017,21:29,7/5/2017 21:29,0.13125,3.15,5
159,Waterfall,,7/5/2017,18:33,7/5/2017 18:33,7/5/2017,21:41,7/5/2017 21:41,0.130555556,3.13,0
160,Waterfall up,,7/5/2017,18:42,7/5/2017 18:42,7/5/2017,21:52,7/5/2017 21:52,0.131944444,3.17,0
161,Kforest,,7/5/2017,18:53,7/5/2017 18:53,7/5/2017,22:00,7/5/2017 22:00,0.129861111,3.12,21
162,Golf,,7/5/2017,18:58,7/5/2017 18:58,7/5/2017,22:08,7/5/2017 22:08,0.131944444,3.17,4
163,Oil,,7/5/2017,19:04,7/5/2017 19:04,7/5/2017,22:23,7/5/2017 22:23,0.138194444,3.32,5
164,KISS,,7/5/2017,19:10,7/5/2017 19:10,7/5/2017,22:30,7/5/2017 22:30,0.138888889,3.33,0
165,KISS,,7/6/2017,17:35,7/6/2017 17:35,7/6/2017,,,,,
166,Oil,,7/6/2017,18:14,7/6/2017 18:14,7/6/2017,,,,,
167,Golf,,7/6/2017,,,7/6/2017,,,,,
168,Kforest,,7/6/2017,,,7/6/2017,,,,,
169,Waterfall up,,7/6/2017,,,7/6/2017,,,,,
170,Waterfall,,7/6/2017,,,7/6/2017,,,,,
171,Seatomato,,7/6/2017,,,7/6/2017,,,,,
172,Camp,,7/6/2017,,,7/6/2017,,,,,
173,Bunny Hill,,7/6/2017,,,7/6/2017,,,,,
174,VV2,,7/6/2017,,,7/6/2017,,,,,
175,VV1,,7/6/2017,,,7/6/2017,,,,,
176,Moz valley,,7/6/2017,,,7/6/2017,,,,,
