ID,Site,ClosestWS,Weatherperiod,DateStart,TimeStart,Datetime_Start,DateEnd,TimeEnd,Datetime_End,Totaldays,Totalhours,Count,Count3.5,LnCount3.5
80,Camp,Waterfall,33,6/22/2017,18:35,6/22/2017 18:35,6/22/2017,22:10,6/22/2017 22:10,0.149305556,3.58,9,8.798882682,2.282268367
81,KISS,Airport,34,6/23/2017,14:00,6/23/2017 14:00,6/23/2017,21:30,6/23/2017 21:30,0.3125,7.5,102,47.6,3.883623531
82,Kforest,Waterfall,35,6/23/2017,18:03,6/23/2017 18:03,6/23/2017,21:07,6/23/2017 21:07,0.127777778,3.07,367,418.4039088,6.038834438
83,Golf,Waterfall,35,6/23/2017,18:08,6/23/2017 18:08,6/23/2017,21:15,6/23/2017 21:15,0.129861111,3.12,295,330.9294872,5.804922558
84,Oil,Airport,35,6/23/2017,18:16,6/23/2017 18:16,6/23/2017,21:22,6/23/2017 21:22,0.129166667,3.1,672,758.7096774,6.632936357
85,KISS,Airport,36,6/24/2017,11:30,6/24/2017 11:30,6/24/2017,18:10,6/24/2017 18:10,0.277777778,6.67,194,101.7991004,4.632776602
86,Waterfall up,Waterfall,37,6/24/2017,18:05,6/24/2017 18:05,6/24/2017,21:30,6/24/2017 21:30,0.142361111,3.42,55,56.28654971,4.048065862
87,Waterfall,Waterfall,37,6/24/2017,18:07,6/24/2017 18:07,6/24/2017,21:38,6/24/2017 21:38,0.146527778,3.52,164,163.0681818,5.100282084
88,Seatomato,Waterfall,37,6/24/2017,18:25,6/24/2017 18:25,6/24/2017,21:46,6/24/2017 21:46,0.139583333,3.35,24,25.07462687,3.260962691
89,Moz valley,Vulgaris,37,6/24/2017,18:45,6/24/2017 18:45,6/24/2017,22:05,6/24/2017 22:05,0.138888889,3.33,115,120.8708709,4.802962049
90,VV1,Vulgaris,37,6/24/2017,18:50,6/24/2017 18:50,6/24/2017,22:22,6/24/2017 22:22,0.147222222,3.53,518,513.5977337,6.243385496
91,VV2,Vulgaris,37,6/24/2017,18:55,6/24/2017 18:55,6/24/2017,22:16,6/24/2017 22:16,0.139583333,3.35,175,182.8358209,5.214043082
92,Bunny Hill,Vulgaris,37,6/24/2017,19:02,6/24/2017 19:02,6/24/2017,22:28,6/24/2017 22:28,0.143055556,3.43,177,180.6122449,5.201873892
93,Camp,Waterfall,37,6/24/2017,19:20,6/24/2017 19:20,6/24/2017,22:45,6/24/2017 22:45,0.142361111,3.42,195,199.5614035,5.301120452
94,Waterfall up,Waterfall,38,6/25/2017,18:18,6/25/2017 18:18,6/25/2017,21:25,6/25/2017 21:25,0.129861111,3.12,14,15.70512821,2.81571575
95,Waterfall,Waterfall,38,6/25/2017,18:15,6/25/2017 18:15,6/25/2017,21:37,6/25/2017 21:37,0.140277778,3.37,161,167.2106825,5.125217256
96,Seatomato,Waterfall,38,6/25/2017,18:34,6/25/2017 18:34,6/25/2017,21:46,6/25/2017 21:46,0.133333333,3.2,193,211.09375,5.357028394
97,Oil,Airport,39,6/26/2017,18:05,6/26/2017 18:05,6/26/2017,21:15,6/26/2017 21:15,0.131944444,3.17,123,135.8044164,4.918552288
