Date,Day,Site,Year,SiteYear,Sample,Mass,Stage
13-Jun-11,13-Jun-17,Black,2011,Black2011,36,1.615,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,37,1.646,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,38,1.872,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,39,1.51,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,40,1.656,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,41,1.614,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,42,1.411,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,43,1.454,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,44,1.557,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,45,1.674,Pupae
13-Jun-11,13-Jun-17,Black,2011,Black2011,46,1.709,Pupae
8-May-12,8-May-17,Black,2012,Black2012,1,0.198,Larvae
8-May-12,8-May-17,Black,2012,Black2012,2,0.133,Larvae
8-May-12,8-May-17,Black,2012,Black2012,3,0.165,Larvae
8-May-12,8-May-17,Black,2012,Black2012,4,0.145,Larvae
8-May-12,8-May-17,Black,2012,Black2012,5,0.138,Larvae
8-May-12,8-May-17,Black,2012,Black2012,6,0.169,Larvae
8-May-12,8-May-17,Black,2012,Black2012,7,0.145,Larvae
8-May-12,8-May-17,Black,2012,Black2012,8,0.22,Larvae
8-May-12,8-May-17,Black,2012,Black2012,9,0.22,Larvae
8-May-12,8-May-17,Black,2012,Black2012,10,0.174,Larvae
8-May-12,8-May-17,Black,2012,Black2012,11,0.064,Larvae
8-May-12,8-May-17,Black,2012,Black2012,12,0.256,Larvae
8-May-12,8-May-17,Black,2012,Black2012,13,0.198,Larvae
8-May-12,8-May-17,Black,2012,Black2012,14,0.207,Larvae
8-May-12,8-May-17,Black,2012,Black2012,15,0.268,Larvae
8-May-12,8-May-17,Black,2012,Black2012,16,0.312,Larvae
8-May-12,8-May-17,Black,2012,Black2012,17,0.181,Larvae
8-May-12,8-May-17,Black,2012,Black2012,18,0.133,Larvae
8-May-12,8-May-17,Black,2012,Black2012,19,0.216,Larvae
8-May-12,8-May-17,Black,2012,Black2012,20,0.182,Larvae
8-May-12,8-May-17,Black,2012,Black2012,21,0.19,Larvae
8-May-12,8-May-17,Black,2012,Black2012,22,0.19,Larvae
8-May-12,8-May-17,Black,2012,Black2012,23,0.234,Larvae
8-May-12,8-May-17,Black,2012,Black2012,24,0.221,Larvae
8-May-12,8-May-17,Black,2012,Black2012,25,0.135,Larvae
8-May-12,8-May-17,Black,2012,Black2012,26,0.097,Larvae
8-May-12,8-May-17,Black,2012,Black2012,27,0.176,Larvae
8-May-12,8-May-17,Black,2012,Black2012,28,0.185,Larvae
8-May-12,8-May-17,Black,2012,Black2012,29,0.184,Larvae
8-May-12,8-May-17,Black,2012,Black2012,30,0.146,Larvae
8-May-12,8-May-17,Black,2012,Black2012,31,0.201,Larvae
8-May-12,8-May-17,Black,2012,Black2012,32,0.285,Larvae
8-May-12,8-May-17,Black,2012,Black2012,33,0.237,Larvae
8-May-12,8-May-17,Black,2012,Black2012,34,0.168,Larvae
8-May-12,8-May-17,Black,2012,Black2012,35,0.285,Larvae
8-May-12,8-May-17,Black,2012,Black2012,36,0.185,Larvae
8-May-12,8-May-17,Black,2012,Black2012,37,0.127,Larvae
8-May-12,8-May-17,Black,2012,Black2012,38,0.173,Larvae
8-May-12,8-May-17,Black,2012,Black2012,39,0.201,Larvae
8-May-12,8-May-17,Black,2012,Black2012,40,0.183,Larvae
8-May-12,8-May-17,Black,2012,Black2012,41,0.144,Larvae
8-May-12,8-May-17,Black,2012,Black2012,42,0.376,Larvae
8-May-12,8-May-17,Black,2012,Black2012,43,0.262,Larvae
8-May-12,8-May-17,Black,2012,Black2012,44,0.2,Larvae
8-May-12,8-May-17,Black,2012,Black2012,45,0.292,Larvae
8-May-12,8-May-17,Black,2012,Black2012,46,0.174,Larvae
8-May-12,8-May-17,Black,2012,Black2012,47,0.137,Larvae
8-May-12,8-May-17,Black,2012,Black2012,48,0.198,Larvae
8-May-12,8-May-17,Black,2012,Black2012,49,0.176,Larvae
14-May-12,14-May-17,Black,2012,Black2012,1,0.331,Larvae
14-May-12,14-May-17,Black,2012,Black2012,2,0.541,Larvae
14-May-12,14-May-17,Black,2012,Black2012,3,0.658,Larvae
14-May-12,14-May-17,Black,2012,Black2012,4,0.433,Larvae
