"","Date","Pond","meantemp","sdtemp","DegreeDay0","DegreeDay1","DegreeDay2","DegreeDay3","DegreeDay4","DegreeDay5","TS0","TS1","TS2","TS3","TS4","TS5"
"184",2018-06-20,"Ice",11.4031666666667,1.56281787491215,11.4031666666667,10.4031666666667,9.40316666666667,8.40316666666667,7.40316666666667,6.40316666666667,287.698708333333,253.772708333333,221.520791666667,190.639875,161.190333333333,134.6085
"185",2018-06-21,"Ice",9.79670833333333,2.28659358338549,9.79670833333333,8.79670833333333,7.79670833333333,6.79670833333333,5.79670833333333,4.79670833333333,297.495416666667,262.569416666667,229.3175,197.436583333333,166.987041666667,139.405208333333
"186",2018-06-22,"Ice",12.3365416666667,2.4514849622071,12.3365416666667,11.3365416666667,10.3365416666667,9.33654166666667,8.33654166666667,7.33654166666667,309.831958333333,273.905958333333,239.654041666667,206.773125,175.323583333333,146.74175
"187",2018-06-23,"Ice",11.4942916666667,0.682719273848379,11.4942916666667,10.4942916666667,9.49429166666667,8.49429166666667,7.49429166666667,6.49429166666667,321.32625,284.40025,249.148333333333,215.267416666667,182.817875,153.236041666667
"188",2018-06-24,"Ice",12.39124,2.51775505626209,12.9075416666667,11.865875,10.8242083333333,9.78254166666667,8.740875,7.69920833333333,334.233791666667,296.266125,259.972541666667,225.049958333333,191.55875,160.93525
"189",2018-06-25,"Ice",10.633,0.645407858913901,10.633,9.633,8.633,7.633,6.633,5.633,344.866791666667,305.899125,268.605541666667,232.682958333333,198.19175,166.56825
"190",2018-06-26,"Ice",11.1634583333333,2.51646048836312,11.1634583333333,10.1634583333333,9.16345833333333,8.16345833333333,7.16345833333333,6.16345833333333,356.03025,316.062583333333,277.769,240.846416666667,205.355208333333,172.731708333333
"191",2018-06-27,"Ice",11.0543913043478,2.75895846189579,10.5937916666667,9.63545833333333,8.677125,7.71879166666667,6.76045833333333,5.802125,366.624041666667,325.698041666667,286.446125,248.565208333333,212.115666666667,178.533833333333
"192",2018-05-15,"NoOil",7.937375,2.14635351485124,2.64579166666667,2.31245833333333,1.979125,1.64579166666667,1.31245833333333,1.0035,2.64579166666667,2.31245833333333,1.979125,1.64579166666667,1.31245833333333,1.0035
"193",2018-05-16,"NoOil",5.75254166666667,3.3578750912777,5.75254166666667,4.75254166666667,3.78120833333333,2.94516666666667,2.26566666666667,1.70941666666667,8.39833333333333,7.065,5.76033333333333,4.59095833333333,3.578125,2.71291666666667
