ID,Site,Weatherperiod,DateStart,Timestart,Datetimestart,DateEnd,Timeend,Datetimeend,Days,Hours,Count,Comments,Count4hour
72,Forest,8,6/19/18,18:00,6/19/18 18:00,6/19/18,21:00,6/19/18 21:00,0.125,3.00,123,,164
73,Waterfall,8,6/19/18,18:10,6/19/18 18:10,6/19/18,21:12,6/19/18 21:12,0.126388889,3.03,975,,1285.714286
74,Camp,8,6/19/18,21:30,6/19/18 21:30,6/19/18,22:20,6/19/18 22:20,0.034722222,0.83,46,,220.8
75,Dispersal,8,6/19/18,18:39,6/19/18 18:39,6/19/18,21:46,6/19/18 21:46,0.129861111,3.12,867,,1112.727273
76,Bunny,8,6/19/18,18:43,6/19/18 18:43,6/19/18,21:50,6/19/18 21:50,0.129861111,3.12,646,,829.0909091
77,Vulgaris,8,6/19/18,18:46,6/19/18 18:46,6/19/18,21:54,6/19/18 21:54,0.130555556,3.13,550,,702.1276596
78,Vulgaris,9,6/21/18,16:05,6/21/18 16:05,6/21/18,20:06,6/21/18 20:06,0.167361111,4.02,1613,,1606.307054
79,Bunny,9,6/21/18,16:09,6/21/18 16:09,6/21/18,20:11,6/21/18 20:11,0.168055556,4.03,3160,,3133.884298
80,Dispersal,9,6/21/18,16:16,6/21/18 16:16,6/21/18,20:15,6/21/18 20:15,0.165972222,3.98,2111,,2119.832636
81,Camp,9,6/21/18,16:30,6/21/18 16:30,6/21/18,20:30,6/21/18 20:30,0.166666667,4.00,2227,,2227
82,Waterfall,9,6/21/18,16:45,6/21/18 16:45,6/21/18,20:46,6/21/18 20:46,0.167361111,4.02,550,,547.7178423
83,Forest,9,6/21/18,17:00,6/21/18 17:00,6/21/18,20:59,6/21/18 20:59,0.165972222,3.98,198,,198.8284519
84,Golf,9,6/21/18,17:05,6/21/18 17:05,6/21/18,21:04,6/21/18 21:04,0.165972222,3.98,35,,35.14644351
85,Oil,9,6/21/18,17:13,6/21/18 17:13,6/21/18,21:11,6/21/18 21:11,0.165277778,3.97,876,,883.3613445
86,Airport,9,6/21/18,17:17,6/21/18 17:17,6/21/18,21:16,6/21/18 21:16,0.165972222,3.98,267,,268.1171548
87,East,9,6/21/18,17:23,6/21/18 17:23,6/21/18,21:20,6/21/18 21:20,0.164583333,3.95,145,,146.835443
88,KISS,9,6/21/18,17:36,6/21/18 17:36,6/21/18,21:30,6/21/18 21:30,0.1625,3.90,178,,182.5641026
89,Vulgaris,10,6/24/18,14:41,6/24/18 14:41,6/24/18,20:06,6/24/18 20:06,0.225694444,5.42,625,,461.5384615
90,Bunny,10,6/24/18,14:46,6/24/18 14:46,6/24/18,20:11,6/24/18 20:11,0.225694444,5.42,192,,141.7846154
91,Dispersal,10,6/24/18,14:49,6/24/18 14:49,6/24/18,20:15,6/24/18 20:15,0.226388889,5.43,1791,,1318.527607
92,Camp,10,6/24/18,15:06,6/24/18 15:06,6/24/18,20:27,6/24/18 20:27,0.222916667,5.35,110,,82.24299065
93,Waterfall,10,6/24/18,15:23,6/24/18 15:23,6/24/18,20:47,6/24/18 20:47,0.225,5.40,,fan broke,0
94,Forest,10,6/24/18,15:39,6/24/18 15:39,6/24/18,21:08,6/24/18 21:08,0.228472222,5.48,270,,196.9604863
95,Golf,10,6/24/18,15:43,6/24/18 15:43,6/24/18,21:16,6/24/18 21:16,0.23125,5.55,5,,3.603603604
96,Oil,10,6/24/18,15:51,6/24/18 15:51,6/24/18,21:26,6/24/18 21:26,0.232638889,5.58,321,,229.9701493
97,Airport,10,6/24/18,15:55,6/24/18 15:55,6/24/18,21:30,6/24/18 21:30,0.232638889,5.58,152,,108.8955224
98,East,10,6/24/18,16:00,6/24/18 16:00,6/24/18,21:36,6/24/18 21:36,0.233333333,5.60,8,,5.714285714
99,KISS,10,6/24/18,16:11,6/24/18 16:11,6/24/18,21:48,6/24/18 21:48,0.234027778,5.62,1868,,1330.32641
100,East,11,6/27/18,15:21,6/27/18 15:21,6/27/18,19:29,6/27/18 19:29,0.172222222,4.13,138,,133.5483871
101,Oil,11,6/27/18,15:33,6/27/18 15:33,6/27/18,19:38,6/27/18 19:38,0.170138889,4.08,63,,61.71428571
102,Airport,11,6/27/18,15:29,6/27/18 15:29,6/27/18,19:35,6/27/18 19:35,0.170833333,4.10,11,,10.73170732
103,KISS,11,6/27/18,15:48,6/27/18 15:48,6/27/18,19:17,6/27/18 19:17,0.145138889,3.48,302,,346.7942584
104,Golf,11,6/27/18,16:08,6/27/18 16:08,6/27/18,19:47,6/27/18 19:47,0.152083333,3.65,15,,16.43835616
105,Forest,11,6/27/18,16:16,6/27/18 16:16,6/27/18,19:52,6/27/18 19:52,0.15,3.60,30,,33.33333333
106,Waterfall,11,6/27/18,16:44,6/27/18 16:44,6/27/18,20:08,6/27/18 20:08,0.141666667,3.40,65,,76.47058824
107,Camp,11,6/27/18,17:03,6/27/18 17:03,6/27/18,20:25,6/27/18 20:25,0.140277778,3.37,27,,32.07920792
108,Dispersal,11,6/27/18,17:18,6/27/18 17:18,6/27/18,20:39,6/27/18 20:39,0.139583333,3.35,132,,157.6119403
109,Bunny,11,6/27/18,17:23,6/27/18 17:23,6/27/18,20:42,6/27/18 20:42,0.138194444,3.32,47,,56.68341709
110,Vulgaris,11,6/27/18,17:28,6/27/18 17:28,6/27/18,20:46,6/27/18 20:46,0.1375,3.30,105,,127.2727273
111,KISS,12,6/30/18,16:58,6/30/18 16:58,6/30/18,20:41,6/30/18 20:41,0.154861111,3.72,594,,639.2825112
112,East,12,6/30/18,17:09,6/30/18 17:09,6/30/18,21:08,6/30/18 21:08,0.165972222,3.98,236,,236.9874477
113,Airport,12,6/30/18,17:14,6/30/18 17:14,6/30/18,21:14,6/30/18 21:14,0.166666667,4.00,126,,126
114,Oil,12,6/30/18,17:17,6/30/18 17:17,6/30/18,21:17,6/30/18 21:17,0.166666667,4.00,267,,267
115,Golf,12,6/30/18,17:25,6/30/18 17:25,6/30/18,21:26,6/30/18 21:26,0.167361111,4.02,5,,4.979253112
116,Forest,12,6/30/18,17:30,6/30/18 17:30,6/30/18,21:33,6/30/18 21:33,0.16875,4.05,79,,78.02469136
117,Waterfall,12,6/30/18,17:44,6/30/18 17:44,6/30/18,21:44,6/30/18 21:44,0.166666667,4.00,204,,204
118,Camp,12,6/30/18,18:01,6/30/18 18:01,6/30/18,22:04,6/30/18 22:04,0.16875,4.05,88,,86.91358025
119,Dispersal,12,6/30/18,18:17,6/30/18 18:17,6/30/18,22:18,6/30/18 22:18,0.167361111,4.02,777,,773.7759336
120,Bunny,12,6/30/18,18:20,6/30/18 18:20,6/30/18,22:21,6/30/18 22:21,0.167361111,4.02,608,,605.4771784
121,Vulgaris,12,6/30/18,18:25,6/30/18 18:25,6/30/18,22:25,6/30/18 22:25,0.166666667,4.00,320,,320
122,East,13,7/2/18,16:53,7/02/18 16:53,7/2/18,21:35,7/02/18 21:35,0.195833333,4.70,45,,38.29787234
123,Airport,13,7/2/18,16:58,7/02/18 16:58,7/2/18,21:40,7/02/18 21:40,0.195833333,4.70,43,,36.59574468
124,Oil,13,7/2/18,17:02,7/02/18 17:02,7/2/18,21:44,7/02/18 21:44,0.195833333,4.70,20,,17.0212766
125,Golf,13,7/2/18,17:38,7/02/18 17:38,7/2/18,21:53,7/02/18 21:53,0.177083333,4.25,2,,1.882352941
126,Forest,13,7/2/18,17:45,7/02/18 17:45,7/2/18,22:00,7/02/18 22:00,0.177083333,4.25,51,,48
127,Waterfall,13,7/2/18,17:58,7/02/18 17:58,7/2/18,22:14,7/02/18 22:14,0.177777778,4.27,50,,46.875
128,Camp,13,7/2/18,18:11,7/02/18 18:11,7/2/18,22:45,7/02/18 22:45,0.190277778,4.57,18,,15.76642336
129,Bunny,13,7/2/18,18:30,7/02/18 18:30,7/2/18,23:14,7/02/18 23:14,0.197222222,4.73,25,,21.12676056
130,Vulgaris,13,7/2/18,18:35,7/02/18 18:35,7/2/18,23:18,7/02/18 23:18,0.196527778,4.72,119,,100.9187279
131,Dispersal,13,7/2/18,18:45,7/02/18 18:45,7/2/18,23:00,7/02/18 23:00,0.177083333,4.25,384,,361.4117647
132,KISS,13,7/2/18,19:29,7/02/18 19:29,7/2/18,23:59,7/02/18 23:59,0.1875,4.50,254,,225.7777778
133,Vulgaris,14,7/5/18,16:57,7/05/18 16:57,7/5/18,20:46,7/05/18 20:46,0.159027778,3.82,0,,0
134,Bunny,14,7/5/18,17:00,7/05/18 17:00,7/5/18,20:50,7/05/18 20:50,0.159722222,3.83,0,,0
135,Dispersal,14,7/5/18,17:03,7/05/18 17:03,7/5/18,20:53,7/05/18 20:53,0.159722222,3.83,17,,17.73913044
136,Camp,14,7/5/18,17:15,7/05/18 17:15,7/5/18,21:06,7/05/18 21:06,0.160416667,3.85,0,,0
137,Waterfall,14,7/5/18,17:30,7/05/18 17:30,7/5/18,21:25,7/05/18 21:25,0.163194444,3.92,2,,2.042553191
138,Forest,14,7/5/18,17:41,7/05/18 17:41,7/5/18,21:38,7/05/18 21:38,0.164583333,3.95,1,,1.012658228
139,Golf,14,7/5/18,17:46,7/05/18 17:46,7/5/18,21:43,7/05/18 21:43,0.164583333,3.95,0,,0
140,Oil,14,7/5/18,17:52,7/05/18 17:52,7/5/18,21:52,7/05/18 21:52,0.166666667,4.00,74,,74
141,Airport,14,7/5/18,17:57,7/05/18 17:57,7/5/18,21:56,7/05/18 21:56,0.165972222,3.98,261,,262.0920502
142,East,14,7/5/18,18:03,7/05/18 18:03,7/5/18,22:00,7/05/18 22:00,0.164583333,3.95,139,,140.7594937
143,KISS,14,7/5/18,18:11,7/05/18 18:11,7/5/18,22:14,7/05/18 22:14,0.16875,4.05,100,,98.7654321
144,Vulgaris,15,7/7/18,16:15,7/07/18 16:15,7/7/18,20:17,7/07/18 20:17,0.168055556,4.03,19,,18.84297521
145,Bunny,15,7/7/18,16:20,7/07/18 16:20,7/7/18,20:22,7/07/18 20:22,0.168055556,4.03,71,,70.41322314
146,Dispersal,15,7/7/18,16:23,7/07/18 16:23,7/7/18,20:26,7/07/18 20:26,0.16875,4.05,215,,212.345679
147,Camp,15,7/7/18,16:35,7/07/18 16:35,7/7/18,20:40,7/07/18 20:40,0.170138889,4.08,88,,86.20408163
148,Waterfall,15,7/7/18,16:52,7/07/18 16:52,7/7/18,20:54,7/07/18 20:54,0.168055556,4.03,67,,66.44628099
149,Forest,15,7/7/18,17:06,7/07/18 17:06,7/7/18,21:10,7/07/18 21:10,0.169444444,4.07,131,,128.852459
150,Golf,15,7/7/18,17:22,7/07/18 17:22,7/7/18,21:17,7/07/18 21:17,0.163194444,3.92,29,,29.61702128
151,Oil,15,7/7/18,17:30,7/07/18 17:30,7/7/18,21:24,7/07/18 21:24,0.1625,3.90,351,,360
152,Airport,15,7/7/18,17:33,7/07/18 17:33,7/7/18,21:28,7/07/18 21:28,0.163194444,3.92,297,,303.3191489
153,East,15,7/7/18,17:37,7/07/18 17:37,7/7/18,21:34,7/07/18 21:34,0.164583333,3.95,593,,600.5063291
154,KISS,15,7/7/18,17:46,7/07/18 17:46,7/7/18,21:44,7/07/18 21:44,0.165277778,3.97,750,,756.302521
155,Vulgaris,16,7/9/18,15:54,7/09/18 15:54,7/9/18,20:50,7/09/18 20:50,0.205555556,4.93,34,,27.56756757
156,Bunny,16,7/9/18,15:59,7/09/18 15:59,7/9/18,20:53,7/09/18 20:53,0.204166667,4.90,207,,168.9795918
157,Dispersal,16,7/9/18,16:03,7/09/18 16:03,7/9/18,20:56,7/09/18 20:56,0.203472222,4.88,370,,303.0716724
158,Camp,16,7/9/18,16:15,7/09/18 16:15,7/9/18,21:08,7/09/18 21:08,0.203472222,4.88,48,,39.31740614
159,Waterfall,16,7/9/18,16:32,7/09/18 16:32,7/9/18,21:23,7/09/18 21:23,0.202083333,4.85,66,,54.43298969
160,Forest,16,7/9/18,16:44,7/09/18 16:44,7/9/18,21:34,7/09/18 21:34,0.201388889,4.83,131,,108.4137931
161,Golf,16,7/9/18,16:51,7/09/18 16:51,7/9/18,21:39,7/09/18 21:39,0.2,4.80,15,,12.5
162,Oil,16,7/9/18,17:05,7/09/18 17:05,7/9/18,21:45,7/09/18 21:45,0.194444444,4.67,240,,205.7142857
163,Airport,16,7/9/18,17:09,7/09/18 17:09,7/9/18,21:48,7/09/18 21:48,0.19375,4.65,150,,129.0322581
164,East,16,7/9/18,17:13,7/09/18 17:13,7/9/18,21:51,7/09/18 21:51,0.193055556,4.63,85,,73.38129497
165,KISS,16,7/9/18,17:22,7/09/18 17:22,7/9/18,22:05,7/09/18 22:05,0.196527778,4.72,207,,175.5477032
166,Vulgaris,17,7/13/18,17:34,7/13/18 17:34,7/13/18,20:30,7/13/18 20:30,0.122222222,2.93,57,,77.72727273
167,Bunny,17,7/13/18,17:30,7/13/18 17:30,7/13/18,20:24,7/13/18 20:24,0.120833333,2.90,63,,86.89655172
168,Dispersal,17,7/13/18,17:26,7/13/18 17:26,7/13/18,20:22,7/13/18 20:22,0.122222222,2.93,26,,35.45454546
169,Camp,17,7/13/18,17:13,7/13/18 17:13,7/13/18,20:04,7/13/18 20:04,0.11875,2.85,43,,60.3508772
170,Waterfall,17,7/13/18,16:59,7/13/18 16:59,7/13/18,19:43,7/13/18 19:43,0.113888889,2.73,37,,54.14634146
171,Forest,17,7/13/18,16:44,7/13/18 16:44,7/13/18,21:27,7/13/18 21:27,0.196527778,4.72,32,,27.13780919
172,Golf,17,7/13/18,16:39,7/13/18 16:39,7/13/18,21:18,7/13/18 21:18,0.19375,4.65,0,,0
173,Oil,17,7/13/18,16:17,7/13/18 16:17,7/13/18,20:47,7/13/18 20:47,0.1875,4.50,13,,11.55555556
174,Airport,17,7/13/18,16:22,7/13/18 16:22,7/13/18,20:52,7/13/18 20:52,0.1875,4.50,0,,0
175,East,17,7/13/18,16:27,7/13/18 16:27,7/13/18,21:01,7/13/18 21:01,0.190277778,4.57,0,,0
176,KISS,17,7/13/18,16:11,7/13/18 16:11,7/13/18,20:32,7/13/18 20:32,0.18125,4.35,57,,52.4137931
